data_type,metric,comparison_type,encoding,method1,method2,p_value,p_value_bonferroni,winner,mean_method1,mean_method2,significant,significant_bonferroni
CHANGEseq,auc,Backend_pairwise,MM,XGBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,XGBoost,0.9477900012782124,0.6754545039748481,True,True
CHANGEseq,auc,Backend_pairwise,MM,CatBoost,DecisionTree,1.2785723680814605e-19,3.8357171042443814e-19,CatBoost,0.9465980019288736,0.6754545039748481,True,True
CHANGEseq,auc,Encoding_xgb,Multiple,NPM,OneHot,6.491839913462407e-16,1.817715175769474e-14,NPM,,,True,True
CHANGEseq,auc,Encoding_xgb,Multiple,NPM,OneHot5Channel,8.425933397703775e-13,2.359261351357057e-11,NPM,,,True,True
CHANGEseq,auc,Encoding_xgb,Multiple,NPM,OneHotVstack,1.8039489409026368e-17,5.051057034527383e-16,NPM,,,True,True
CHANGEseq,auc,Encoding_xgb,Multiple,NPM,kmer,2.29454722161083e-18,6.424732220510324e-17,NPM,,,True,True
CHANGEseq,auc,Encoding_xgb,Multiple,NPM,LabelEncodingPairwise,3.5904191644492297e-11,1.0053173660457843e-09,NPM,,,True,True
CHANGEseq,auc,Encoding_xgb,Multiple,NPM,bulges,0.049133104269637004,1.0,bulges,,,True,False
CHANGEseq,auc,Encoding_xgb,Multiple,NPM,MM,2.29454722161083e-18,6.424732220510324e-17,NPM,,,True,True
CHANGEseq,auc,Encoding_xgb,Multiple,OneHot,OneHot5Channel,6.613610568725959e-06,0.00018518109592432683,OneHot5Channel,,,True,True
CHANGEseq,auc,Encoding_xgb,Multiple,OneHot,OneHotVstack,1.3824087190801481e-09,3.870744413424415e-08,OneHot,,,True,True
CHANGEseq,auc,Encoding_xgb,Multiple,OneHot,kmer,8.131265754090672e-18,2.2767544111453884e-16,OneHot,,,True,True
CHANGEseq,auc,Encoding_xgb,Multiple,OneHot,LabelEncodingPairwise,4.026861129850146e-08,1.1275211163580408e-06,LabelEncodingPairwise,,,True,True
CHANGEseq,auc,Encoding_xgb,Multiple,OneHot,bulges,2.4812554399629945e-16,6.947515231896384e-15,bulges,,,True,True
CHANGEseq,auc,Encoding_xgb,Multiple,OneHot,MM,8.131265754090672e-18,2.2767544111453884e-16,OneHot,,,True,True
CHANGEseq,auc,Encoding_xgb,Multiple,OneHot5Channel,OneHotVstack,2.857471002332366e-14,8.000918806530625e-13,OneHot5Channel,,,True,True
CHANGEseq,auc,Encoding_xgb,Multiple,OneHot5Channel,kmer,6.058411233878983e-18,1.6963551454861152e-16,OneHot5Channel,,,True,True
CHANGEseq,auc,Encoding_xgb,Multiple,OneHot5Channel,LabelEncodingPairwise,0.026267894751757358,0.735501053049206,LabelEncodingPairwise,,,True,False
CHANGEseq,auc,Encoding_xgb,Multiple,OneHot5Channel,bulges,1.9340680314816154e-13,5.415390488148523e-12,bulges,,,True,True
CHANGEseq,auc,Encoding_xgb,Multiple,OneHot5Channel,MM,6.058411233878983e-18,1.6963551454861152e-16,OneHot5Channel,,,True,True
CHANGEseq,auc,Encoding_xgb,Multiple,OneHotVstack,kmer,3.8740327345782803e-10,1.0847291656819185e-08,OneHotVstack,,,True,True
CHANGEseq,auc,Encoding_xgb,Multiple,OneHotVstack,LabelEncodingPairwise,2.81814594954712e-16,7.890808658731936e-15,LabelEncodingPairwise,,,True,True
CHANGEseq,auc,Encoding_xgb,Multiple,OneHotVstack,bulges,1.3844323213626854e-17,3.8764104998155193e-16,bulges,,,True,True
CHANGEseq,auc,Encoding_xgb,Multiple,OneHotVstack,MM,3.8740327345782803e-10,1.0847291656819185e-08,OneHotVstack,,,True,True
CHANGEseq,auc,Encoding_xgb,Multiple,kmer,LabelEncodingPairwise,7.708292084269205e-18,2.1583217835953774e-16,LabelEncodingPairwise,,,True,True
CHANGEseq,auc,Encoding_xgb,Multiple,kmer,bulges,2.608327570832747e-18,7.303317198331691e-17,bulges,,,True,True
CHANGEseq,auc,Encoding_xgb,Multiple,kmer,MM,0.5637028616507731,1.0,No diff,,,False,False
CHANGEseq,auc,Encoding_xgb,Multiple,LabelEncodingPairwise,bulges,1.0438030114605362e-11,2.9226484320895013e-10,bulges,,,True,True
CHANGEseq,auc,Encoding_xgb,Multiple,LabelEncodingPairwise,MM,7.708292084269205e-18,2.1583217835953774e-16,LabelEncodingPairwise,,,True,True
CHANGEseq,auc,Encoding_xgb,Multiple,bulges,MM,2.608327570832747e-18,7.303317198331691e-17,bulges,,,True,True
CHANGEseq,auc,Encoding_catboost,Multiple,NPM,OneHot,2.093904266970102e-15,5.862931947516286e-14,NPM,,,True,True
CHANGEseq,auc,Encoding_catboost,Multiple,NPM,OneHot5Channel,9.792668286443733e-09,2.7419471202042455e-07,NPM,,,True,True
CHANGEseq,auc,Encoding_catboost,Multiple,NPM,OneHotVstack,3.282665721554547e-14,9.191464020352732e-13,NPM,,,True,True
CHANGEseq,auc,Encoding_catboost,Multiple,NPM,kmer,5.898158583920233e-18,1.6514844034976652e-16,NPM,,,True,True
CHANGEseq,auc,Encoding_catboost,Multiple,NPM,LabelEncodingPairwise,6.1178024529429305e-15,1.7129846868240205e-13,NPM,,,True,True
CHANGEseq,auc,Encoding_catboost,Multiple,NPM,bulges,0.09760641003253978,1.0,No diff,,,False,False
CHANGEseq,auc,Encoding_catboost,Multiple,NPM,MM,5.742091542849455e-18,1.6077856319978474e-16,NPM,,,True,True
CHANGEseq,auc,Encoding_catboost,Multiple,OneHot,OneHot5Channel,3.2448013364341773e-10,9.085443742015697e-09,OneHot5Channel,,,True,True
CHANGEseq,auc,Encoding_catboost,Multiple,OneHot,OneHotVstack,0.7850087617257844,1.0,No diff,,,False,False
CHANGEseq,auc,Encoding_catboost,Multiple,OneHot,kmer,1.1931284612908656e-18,3.3407596916144234e-17,OneHot,,,True,True
CHANGEseq,auc,Encoding_catboost,Multiple,OneHot,LabelEncodingPairwise,0.05310025280612294,1.0,No diff,,,False,False
CHANGEseq,auc,Encoding_catboost,Multiple,OneHot,bulges,2.109138178577712e-15,5.905586900017593e-14,bulges,,,True,True
CHANGEseq,auc,Encoding_catboost,Multiple,OneHot,MM,1.160922089228877e-18,3.250581849840856e-17,OneHot,,,True,True
CHANGEseq,auc,Encoding_catboost,Multiple,OneHot5Channel,OneHotVstack,1.850040708809029e-07,5.180113984665281e-06,OneHot5Channel,,,True,True
CHANGEseq,auc,Encoding_catboost,Multiple,OneHot5Channel,kmer,2.4224770988880706e-18,6.782935876886598e-17,OneHot5Channel,,,True,True
CHANGEseq,auc,Encoding_catboost,Multiple,OneHot5Channel,LabelEncodingPairwise,8.676744362999356e-09,2.4294884216398195e-07,OneHot5Channel,,,True,True
CHANGEseq,auc,Encoding_catboost,Multiple,OneHot5Channel,bulges,2.1698679154953914e-07,6.075630163387096e-06,bulges,,,True,True
